time,ankle_angle,ground_force,heel_strike,midfoot_strike,toe_strike
3.38,0.04374665,0.0,0,0,0
3.385,0.04015193,0.0,0,0,0
3.39,0.03350187,0.0,0,0,0
3.395,0.02789017,1.0,1,0,0
3.4,0.02409525,2.0,1,0,0
3.405,0.02037242,3.0,1,0,0
3.41,0.0166932,4.0,1,0,0
3.415,0.01399223,8.0,1,0,0
3.42,0.01194857,13.0,1,0,0
3.425,0.00978082,18.0,1,0,0
3.43,0.00726587,22.0,1,0,0
3.435,0.00468795,25.0,1,0,0
3.44,0.00245441,27.0,1,0,0
3.445,0.00068535,29.0,1,0,0
3.45,-0.00064815,30.0,1,0,0
3.455,-0.00149967,31.0,1,0,0
3.46,-0.00180756,33.0,1,0,0
3.465,-0.00153929,35.0,1,0,0
3.47,-0.00067663,37.0,1,0,0
3.475,0.00080164,40.0,1,0,0
3.48,0.00290872,43.0,1,1,0
3.485,0.00568401,47.0,1,1,0
3.49,0.00917922,51.0,1,1,0
3.495,0.01339092,55.0,1,1,0
3.5,0.018254,57.0,1,1,0
3.505,0.02372469,60.0,1,1,1
3.51,0.02973636,62.0,1,1,1
3.515,0.03616501,64.0,1,1,1
3.52,0.042867,66.0,1,1,1
3.525,0.04972083,67.0,1,1,1
3.53,0.05659102,69.0,1,1,1
3.535,0.06333132,70.0,1,1,1
3.54,0.06995523,72.0,1,1,1
3.545,0.07662423,74.0,1,1,1
3.55,0.08337154,76.0,1,1,1
3.555,0.08997921,77.0,1,1,1
3.56,0.09619783,77.0,1,1,1
3.565,0.10197131,78.0,1,1,1
3.57,0.10737952,78.0,1,1,1
3.575,0.11245575,78.0,1,1,1
3.58,0.11719459,78.0,1,1,1
3.585,0.12160454,78.0,1,1,1
3.59,0.12570873,78.0,1,1,1
3.595,0.12952676,77.0,1,1,1
3.6,0.13307596,77.0,1,1,1
3.605,0.1363742,76.0,1,1,1
3.61,0.13943825,75.0,1,1,1
3.615,0.14228463,74.0,1,1,1
3.62,0.14492997,73.0,1,1,1
3.625,0.1473901,72.0,1,1,1
3.63,0.14968071,71.0,1,1,1
3.635,0.15181743,69.0,1,1,1
3.64,0.15381484,68.0,1,1,1
3.645,0.15568624,67.0,1,1,1
3.65,0.1574417,65.0,1,1,1
3.655,0.15908964,64.0,1,1,1
3.66,0.16063514,63.0,1,1,1
3.665,0.1620822,62.0,1,1,1
3.67,0.16343366,61.0,1,1,1
3.675,0.16469281,60.0,1,1,1
3.68,0.16586432,59.0,1,1,1
3.685,0.16695381,59.0,1,1,1
3.69,0.16796923,58.0,1,1,1
3.695,0.16891943,57.0,1,1,1
3.7,0.16981423,57.0,1,1,1
3.705,0.17066374,56.0,1,1,1
3.71,0.17148105,56.0,1,1,1
3.715,0.1722813,55.0,1,1,1
3.72,0.17307756,55.0,1,1,1
3.725,0.1738785,54.0,1,1,1
3.73,0.17468824,54.0,1,1,1
3.735,0.17551176,54.0,1,1,1
3.74,0.176355,54.0,1,1,1
3.745,0.17722382,54.0,1,1,1
3.75,0.1781231,54.0,1,1,1
3.755,0.17905695,54.0,1,1,1
3.76,0.18002891,54.0,1,1,1
3.765,0.18104244,54.0,1,1,1
3.77,0.18210292,55.0,1,1,1
3.775,0.18321736,55.0,1,1,1
3.78,0.18439571,56.0,1,1,1
3.785,0.18564954,56.0,1,1,1
3.79,0.18699047,57.0,1,1,1
3.795,0.18842989,57.0,1,1,1
3.8,0.18997981,58.0,1,1,1
3.805,0.19165237,59.0,1,1,1
3.81,0.19346319,59.0,1,1,1
3.815,0.19543084,60.0,1,1,1
3.82,0.1975722,61.0,1,1,1
3.825,0.19989881,62.0,1,1,1
3.83,0.20240995,63.0,1,1,1
3.835,0.20509964,64.0,1,1,1
3.84,0.20795331,65.0,1,1,1
