Inverse Dynamics Generalized Forces
version=1
nRows=10
nColumns=32
inDegrees=no
endheader
time	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	arm_flex_r_moment	arm_add_r_moment	arm_rot_r_moment	arm_flex_l_moment	arm_add_l_moment	arm_rot_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	elbow_flex_r_moment	elbow_flex_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment
      0.01000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	      0.00000000	-934470.89124980	      0.00000000	 -50436.48613400	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.02000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	      0.00000000	-934470.89124980	      0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.03000000	 -42713.19090957	 -38109.65147326	  -1787.89958706	     -0.00000000	-934470.89124980	      0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.04000000	 -42713.19090957	 -38109.65147326	  -1787.89958706	     -0.00000000	-934470.89124980	      0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.05000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	     -0.00000000	-934470.89124980	     -0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.06000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	      0.00000000	-934470.89124980	     -0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.07000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	      0.00000000	-934470.89124980	      0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.08000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	     -0.00000000	-934470.89124980	     -0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.09000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	      0.00000000	-934470.89124980	     -0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
      0.10000000	 -42713.19090956	 -38109.65147326	  -1787.89958706	      0.00000000	-934470.89124980	     -0.00000000	 -50436.48613401	 -24992.31658666	  -3674.86212849	 -56288.98692158	  10071.41812021	   -152.73478906	     -7.93519983	     -6.15038928	     -0.41622148	 -51425.03860819	 -55588.55880577	      1.08507036	      1.01522159	      0.03568409	      0.97736131	     -0.88023782	     -0.00991063	 -40915.53933753	 -41278.08774642	      0.25547606	      0.11326942	   8741.95653202	  11981.19114050	  -8216.80261555	  -8171.93170879
