=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:08:54 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
0,-43.938,0,0,0
0.005,-44.916,0,0,0
0.010,-44.155,0,0,0
0.015,-44.155,0,0,0
0.020,-44.155,0,0,0
0.025,-45.024,0,0,0
0.030,-43.721,0,0,0
0.035,-43.395,0,0,0
0.040,-44.916,0,0,0
0.045,-45.893,0,0,0
0.050,-44.155,0,0,0
0.055,-43.938,0,0,0
0.060,-45.459,0,0,0
0.065,-45.350,0,0,0
0.070,-44.481,0,0,0
0.075,-44.155,0,0,0
0.080,-44.698,0,0,0
0.085,-44.916,0,0,0
0.090,-44.047,0,0,0
0.095,-44.047,0,0,0
0.100,-45.676,0,0,0
0.105,-45.350,0,0,0
0.110,-44.047,0,0,0
0.115,-44.155,0,0,0
0.120,-46.002,0,0,0
0.125,-43.829,0,0,0
0.130,-43.721,0,0,0
0.135,-43.829,0,0,0
0.140,-46.219,0,0,0
0.145,-44.698,0,0,0
0.150,-44.047,0,0,0
0.155,-44.047,0,0,0
0.160,-44.264,0,0,0
0.165,-44.155,0,0,0
0.170,-44.047,0,0,0
0.175,-44.155,0,0,0
0.180,-44.698,0,0,0
0.185,-44.481,0,0,0
0.190,-44.047,0,0,0
0.195,-44.264,0,0,0
0.200,-44.807,0,0,0
0.205,-44.264,0,0,0
0.210,-44.373,0,0,0
0.215,-44.698,0,0,0
0.220,-44.481,0,0,0
0.225,-44.698,0,0,0
0.230,-43.721,0,0,0
0.235,-43.829,0,0,0
0.240,-45.024,0,0,0
0.245,-44.155,0,0,0
0.250,-44.481,0,0,0
0.255,-44.373,0,0,0
0.260,-45.242,0,0,0
0.265,-45.242,0,0,0
0.270,-44.807,0,0,0
0.275,-44.373,0,0,0
0.280,-44.807,0,0,0
0.285,-44.916,0,0,0
0.290,-44.807,0,0,0
0.295,-45.459,0,0,0
0.300,-45.893,0,0,0
0.305,-44.373,0,0,0
0.310,-45.567,0,0,0
0.315,-46.002,0,0,0
0.320,-45.893,0,0,0
0.325,-45.133,0,0,0
0.330,-45.350,0,0,0
0.335,-45.459,0,0,1
0.340,-46.545,0,0,1
0.345,-45.350,0,0,1
0.350,-45.024,0,0,1
0.355,-45.676,0,0,1
0.360,-45.785,0,0,1
0.365,-45.242,0,0,1
0.370,-45.133,0,0,1
0.375,-46.002,0,0,1
0.380,-45.893,0,0,1
0.385,-45.350,0,0,1
0.390,-45.459,0,0,1
0.395,-46.980,0,0,1
0.400,-45.893,0,0,1
0.405,-45.567,0,0,1
0.410,-45.024,0,0,1
0.415,-45.785,0,0,1
0.420,-45.676,0,0,1
0.425,-45.350,0,0,1
0.430,-44.916,0,0,1
0.435,-46.002,0,0,1
0.440,-44.698,0,0,1
0.445,-44.155,0,0,1
0.450,-44.481,0,0,1
0.455,-45.242,0,0,1
0.460,-44.264,0,0,1
0.465,-44.047,0,0,1
0.470,-44.047,0,0,1
0.475,-45.133,0,0,1
0.480,-44.155,0,0,1
0.485,-44.047,0,0,1
0.490,-44.807,0,0,1
0.495,-44.807,0,0,1
0.500,-44.807,0,0,1
0.505,-44.047,0,0,1
0.510,-45.893,0,0,1
0.515,-44.481,0,0,1
0.520,-44.373,0,0,1
0.525,-44.807,0,0,1
0.530,-44.698,0,0,1
0.535,-45.459,0,0,1
0.540,-44.155,0,0,1
0.545,-43.721,0,0,1
