Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
3.82,-22.647,0,0,0,0.0
3.825,-24.603,0,0,0,0.0039062500000002645
3.83,-24.929,0,0,0,0.007812500000000182
3.835,-24.385,0,0,0,0.011718750000000099
3.84,-24.494,0,0,0,0.015625000000000017
3.845,-25.037,0,0,0,0.01953125000000028
3.85,-23.734,0,0,0,0.023437500000000198
3.855,-22.973,0,0,0,0.027343750000000114
3.86,-22.865,0,0,0,0.031250000000000035
3.865,-29.925,0,0,0,0.0351562500000003
3.87,-39.919,0,0,0,0.039062500000000215
3.875,-50.347,0,0,0,0.04296875000000013
3.88,-57.408,0,0,0,0.04687500000000005
3.885,-60.123,0,0,0,0.050781249999999965
3.89,-59.363,0,0,0,0.05468750000000023
3.895,-57.951,0,0,0,0.058593750000000146
3.9,-55.778,0,0,0,0.06250000000000007
3.905,-54.801,0,0,0,0.06640624999999999
3.91,-53.714,0,0,0,0.07031250000000025
3.915,-52.954,0,0,0,0.07421875000000017
3.92,-50.999,0,0,0,0.07812500000000008
3.925,-49.478,0,0,0,0.08203125
3.93,-46.328,0,0,0,0.08593750000000026
3.935,-43.612,0,0,0,0.08984375000000018
3.94,-41.222,0,0,0,0.0937500000000001
3.945,-41.114,0,0,0,0.09765625000000001
3.95,-38.833,0,0,0,0.10156250000000028
3.955,-37.203,0,0,0,0.1054687500000002
3.96,-37.855,0,0,0,0.10937500000000011
3.965,-37.746,0,0,0,0.11328125000000003
3.97,-36.334,0,0,0,0.11718750000000029
3.975,-37.312,0,0,0,0.12109375000000021
3.98,-38.724,0,0,0,0.12500000000000014
3.985,-38.615,0,0,0,0.12890625000000006
3.99,-39.267,0,0,0,0.1328125000000003
3.995,-40.028,0,0,0,0.13671875000000022
4.0,-41.983,0,0,0,0.14062500000000014
4.005,-42.2,0,0,0,0.14453125000000006
4.01,-43.178,0,0,0,0.14843749999999997
4.015,-43.504,0,0,0,0.1523437499999999
4.02,-45.567,0,0,0,0.1562499999999998
4.025,-46.871,0,0,0,0.16015625000000042
4.03,-47.957,0,0,0,0.16406250000000033
4.035,-49.261,0,0,0,0.16796875000000025
4.04,-50.564,0,0,0,0.17187500000000017
4.045,-51.325,0,0,0,0.17578125000000008
4.05,-50.347,0,0,0,0.1796875
4.055,-50.347,0,0,0,0.18359374999999994
4.06,-52.737,0,0,0,0.18749999999999986
4.065,-61.861,0,0,0,0.19140625000000047
4.07,-67.51,0,0,0,0.1953125000000004
4.075,-66.424,0,0,0,0.1992187500000003
4.08,-61.753,0,0,0,0.20312500000000022
4.085,-55.235,0,0,0,0.20703125000000014
4.09,-52.302,0,0,0,0.21093750000000006
4.095,-54.04,0,0,0,0.21484374999999997
4.1,-59.037,0,0,0,0.2187499999999999
4.105,-58.928,0,0,0,0.2226562500000005
4.11,-55.778,0,0,0,0.22656250000000042
4.115,-51.759,0,0,0,0.23046875000000033
4.12,-49.587,0,0,0,0.23437500000000025
4.125,-47.305,0,0,0,0.23828125000000017
4.13,-46.871,0,0,0,0.24218750000000008
4.135,-46.111,0,0,0,0.24609375
4.14,-46.111,0,0,0,0.24999999999999992
4.145,-44.155,0,0,0,0.25390624999999983
4.15,-42.526,0,0,0,0.25781250000000044
4.155,-41.874,0,0,0,0.26171875000000033
4.16,-42.96,0,0,0,0.2656250000000003
4.165,-41.983,0,0,0,0.26953125000000017
4.17,-42.526,0,0,0,0.2734375000000001
4.175,-42.2,0,0,0,0.27734375000000006
4.18,-42.526,0,0,0,0.28124999999999994
4.185,-42.635,0,0,0,0.2851562499999999
4.19,-43.178,0,0,0,0.2890625000000005
4.195,-43.612,0,0,0,0.2929687500000004
4.2,-43.395,0,0,0,0.29687500000000033
4.205,-43.069,0,0,0,0.3007812500000002
4.21,-42.526,0,0,0,0.30468750000000017
4.215,-43.178,0,0,0,0.30859375000000006
4.22,-42.417,0,0,0,0.3125
4.225,-40.462,0,0,0,0.3164062499999999
4.23,-39.593,0,0,0,0.3203125000000005
4.235,-38.724,0,0,0,0.32421875000000044
4.24,-38.181,0,0,0,0.32812500000000033
4.245,-33.727,0,0,0,0.3320312500000003
4.25,-31.772,0,0,0,0.33593750000000017
4.255,-30.251,0,0,0,0.3398437500000001
4.26,-27.318,0,0,0,0.34375
4.265,-23.625,0,0,0,0.34765624999999994
4.27,-20.692,0,0,0,0.35156249999999983
4.275,-18.085,0,0,0,0.35546875000000044
4.28,-14.935,0,0,0,0.3593750000000004
4.285,-11.676,0,0,0,0.3632812500000003
4.29,-9.178,0,0,0,0.3671875000000002
4.295,-7.983,0,0,0,0.3710937500000001
4.3,-6.136,0,0,0,0.37500000000000006
4.305,-5.05,0,0,0,0.37890624999999994
4.31,-4.29,0,0,0,0.3828124999999999
4.315,-5.485,0,0,0,0.3867187500000005
4.32,-6.788,0,0,0,0.3906250000000004
4.325,-9.504,0,0,0,0.39453125000000033
4.33,-11.785,0,0,0,0.3984375000000002
4.335,-15.044,0,0,0,0.40234375000000017
4.34,-16.456,0,0,0,0.40625000000000006
4.345,-19.28,0,0,0,0.41015625
4.35,-22.756,0,0,0,0.4140624999999999
4.355,-28.187,0,0,0,0.4179687500000005
4.36,-31.446,0,0,0,0.42187500000000044
4.365,-35.574,0,0,0,0.42578125000000033
4.37,-38.833,0,0,0,0.4296875000000003
4.375,-41.005,0,0,0,0.43359375000000017
4.38,-37.421,0,0,0,0.4375000000000001
4.385,-32.641,0,0,0,0.44140625
4.39,-28.079,0,0,0,0.44531249999999994
4.395,-25.906,0,0,1,0.44921874999999983
4.4,-25.037,0,0,1,0.45312500000000044
